,id,yearDiff,Stimmfach,H1H2LTAS,alphaRatio,CPPs,SNR,Jahr,alter,geschlecht,Voice Type,dSPL
35,25,3.293150684931507,Ten/Bar/Bass,-10.115785559650984,1.459075250863062,23.568209156486386,104.95919776670345,2008,19.0,männl.,Baritone/Bass,-12.199984067382236
36,33,0.14246575342465753,Sop/Mezzo/Alt,-2.5067540842695846,2.010613753670156,15.376853888323394,55.06654739379883,2010,21.0,weibl.,Soprano,36.072882561685475
37,33,1.5808219178082192,Sop/Mezzo/Alt,,,,,2010,21.0,weibl.,Soprano,
38,33,3.536986301369863,Sop/Mezzo/Alt,4.2491093417981025,-0.3177536032833914,18.416579967771675,50.42001724243164,2010,21.0,weibl.,Soprano,34.45430519775626
39,34,0.0958904109589041,Ten/Bar/Bass,-5.069805491856801,-1.1734448648987275,19.723457283104274,74.72360933174042,2008,25.0,männl.,Baritone/Bass,-19.777514328044642
40,34,1.336986301369863,Ten/Bar/Bass,-5.971440624589243,-0.14223526377445572,20.654924664855944,51.90725326538086,2008,25.0,männl.,Baritone/Bass,32.27142710343393
41,34,2.1671232876712327,Ten/Bar/Bass,-7.041132287470467,-1.5862155290024558,19.866210655863732,104.03398346169034,2008,25.0,männl.,Baritone/Bass,-10.631474675461636
42,43,1.3424657534246576,Ten/Bar/Bass,-6.847823848443799,0.17408648773216548,20.163183030639466,45.53891181945801,2007,26.0,männl.,Tenor,25.73628827063341
43,43,3.336986301369863,Ten/Bar/Bass,-6.484022547410143,0.3138143285623208,20.702082771576215,59.228129386901855,2007,26.0,männl.,Tenor,25.87047006828353
44,44,0.1232876712328767,Ten/Bar/Bass,-3.9333762014380986,0.5283378085071998,21.77491949147855,47.77245044708252,2010,23.0,männl.,Baritone/Bass,31.187933700608063
45,44,1.5041095890410958,Ten/Bar/Bass,-3.1955752445818746,0.5345093118338966,20.941439706772947,54.68499183654785,2010,23.0,männl.,Baritone/Bass,27.55621333412514
46,44,2.578082191780822,Ten/Bar/Bass,-1.4545640781248577,1.2757178868422687,20.06538129359528,50.26108264923096,2010,23.0,männl.,Baritone/Bass,25.820821047670425
47,44,3.326027397260274,Ten/Bar/Bass,-3.7140416458317285,1.435469861348887,21.805298728884484,55.08127212524414,2010,23.0,männl.,Baritone/Bass,25.470753053517
48,46,0.1506849315068493,Sop/Mezzo/Alt,4.01625237480523,-0.7534739302632176,16.37530067070387,53.32353591918945,2013,20.0,weibl.,Soprano,42.803817674764105
49,46,1.3397260273972602,Sop/Mezzo/Alt,4.179065458489217,-0.8864683224828693,14.643389296073666,53.309221267700195,2013,20.0,weibl.,Soprano,29.921869780140717
50,46,2.317808219178082,Sop/Mezzo/Alt,2.9467085583213484,-0.21615527780564192,16.709935907243604,58.20794105529785,2013,20.0,weibl.,Soprano,35.074135024846214
51,47,0.1589041095890411,Ten/Bar/Bass,-6.222761560488571,-2.068913553507071,19.722032458276,54.845547676086426,2016,25.0,männl.,Baritone/Bass,25.484990148312
52,47,1.3287671232876712,Ten/Bar/Bass,-9.088475637974554,-1.646451593459277,22.668963268675977,54.850029945373535,2016,25.0,männl.,Baritone/Bass,30.06389460277219
53,48,0.16164383561643836,Ten/Bar/Bass,-7.194330808068243,-1.0749992878317873,21.3027183502237,53.59208583831787,2015,19.0,männl.,Baritone/Bass,30.02340073465323
54,48,1.2164383561643837,Ten/Bar/Bass,-6.547188075609633,0.5050275940707112,21.490552133662803,50.105934143066406,2015,19.0,männl.,Baritone/Bass,26.44566012568529
55,48,2.734246575342466,Ten/Bar/Bass,-9.173187220701665,-1.0848893669824433,21.520145192326464,64.09706115722656,2015,19.0,männl.,Baritone/Bass,33.58135748791652
56,52,0.18904109589041096,Sop/Mezzo/Alt,,,,,2014,25.0,männl.,Mezzo-Soprano/Contralto,
57,52,1.1835616438356165,Ten/Bar/Bass,-6.309301152265122,0.8217634228996716,20.709798728374142,56.21251106262207,2014,25.0,männl.,Baritone/Bass,26.75167636279046
58,52,2.4876712328767123,Ten/Bar/Bass,-5.909760686758477,1.0991561729213846,19.954757782583396,59.89697456359863,2014,25.0,männl.,Baritone/Bass,33.12828540411778
59,52,3.6191780821917807,Ten/Bar/Bass,-7.2113835621951585,1.7419681633411424,21.741809743959223,58.60044479370117,2014,25.0,männl.,Baritone/Bass,14.13314319737288
60,54,0.20273972602739726,Sop/Mezzo/Alt,3.272464756878057,0.5471485176317775,19.99331619209047,57.50917434692383,2015,21.0,weibl.,Soprano,31.065353587909147
61,54,1.736986301369863,Sop/Mezzo/Alt,1.6375542773450356,1.4860769517002257,20.414722533226765,50.49367427825928,2015,21.0,weibl.,Soprano,25.781600947097306
62,56,0.18082191780821918,Sop/Mezzo/Alt,0.6046246459237152,1.2341813324727788,16.271664243635637,54.23814296722412,2015,21.0,weibl.,Soprano,26.41266195375608
63,56,1.2191780821917808,Sop/Mezzo/Alt,1.5700720816694302,1.4150891380059438,16.799971511463223,53.97045612335205,2015,21.0,weibl.,Soprano,30.31869912604148
64,56,2.580821917808219,Sop/Mezzo/Alt,1.604792186283504,0.9754354781305963,16.62320334270716,61.85074329376221,2015,21.0,weibl.,Soprano,33.90086145959726
65,61,1.7561643835616438,Ten/Bar/Bass,-8.661824945210729,-0.5472939233043467,21.77630789395804,44.64348316192627,2006,24.0,männl.,Baritone/Bass,31.359735437196935
66,61,2.7260273972602738,Ten/Bar/Bass,-7.501482288606124,-0.41448309931363997,21.35056243331964,47.60639667510986,2006,24.0,männl.,Baritone/Bass,34.13876732093537
67,61,3.723287671232877,Ten/Bar/Bass,-7.105515347985273,-1.3301552124985496,21.693175315412123,52.233757972717285,2006,24.0,männl.,Baritone/Bass,32.090824118384134
